epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.11398,0.0979,3.95073,0.33659,0.52541,1.504601226993865e-05,254.0,82.1,3621.4
1,2.40016,0.65853,1.2438,0.80478,0.93739,3e-05,237.9,87.7,3621.4
2,0.76691,0.87616,0.70084,0.86402,0.96298,2.7990381056766583e-05,236.0,88.4,3621.4
3,0.38128,0.93364,0.55823,0.88724,0.96735,2.25e-05,252.1,82.7,3621.4
4,0.22534,0.96212,0.50393,0.89431,0.96802,1.5e-05,251.7,82.9,3621.4
5,0.15085,0.97924,0.48582,0.89498,0.96802,7.500000000000004e-06,255.9,81.5,3621.4
6,0.11644,0.98514,0.4714,0.89599,0.9687,2.0096189432334194e-06,251.6,82.9,3621.4
7,0.10244,0.98782,0.47117,0.89566,0.96802,0.0,251.1,83.1,3621.4
