epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.53658,0.01002,5.50113,0.03938,0.10165,0.00010285714285714284,11.3,195.1,3101.2
1,5.41079,0.04463,5.27834,0.0515,0.17132,0.00020285714285714286,10.8,204.0,3101.2
2,4.94338,0.05237,4.58368,0.10434,0.34231,0.0003,10.6,208.0,3101.2
3,3.91918,0.27505,3.15221,0.45237,0.74722,0.0002948888739433602,10.5,209.8,3101.2
4,2.41853,0.66029,2.03439,0.64221,0.86301,0.0002799038105676658,10.6,207.3,3101.2
5,1.30272,0.8561,1.41948,0.7203,0.89768,0.00025606601717798207,10.5,208.2,3101.2
6,0.77276,0.92168,1.22119,0.73376,0.90374,0.000225,10.5,209.5,3101.2
7,0.5171,0.95219,1.14562,0.74386,0.90609,0.0001888228567653781,10.5,208.7,3101.2
8,0.3784,0.96311,1.09352,0.75194,0.90946,0.00015,10.5,209.3,3101.2
9,0.29173,0.98042,1.0719,0.75429,0.90946,0.00011117714323462186,10.5,209.2,3101.2
10,0.24849,0.98497,1.0709,0.75093,0.90845,7.500000000000002e-05,10.7,204.5,3101.2
11,0.22763,0.98953,1.06449,0.75395,0.91013,4.3933982822017876e-05,10.5,208.9,3101.2
12,0.20646,0.99089,1.03853,0.75934,0.91047,2.009618943233419e-05,10.6,207.6,3101.2
13,0.19941,0.99089,1.05028,0.75968,0.91148,5.11112605663977e-06,10.6,208.1,3101.2
14,0.20723,0.98953,1.04146,0.7553,0.91148,0.0,10.5,209.9,3101.2
