epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.40732,0.04728,4.66951,0.14843,0.26927,3.3734939759036146e-05,58.7,90.4,3621.4
1,3.58286,0.44585,2.48411,0.65904,0.85459,6.706827309236948e-05,57.6,92.1,3621.4
2,1.40608,0.82765,1.15381,0.81488,0.94244,0.0001,57.3,92.6,3621.4
3,0.4501,0.94707,0.84722,0.83844,0.94648,9.966191788709716e-05,57.1,92.9,3621.4
4,0.16858,0.98493,0.75924,0.84517,0.94985,9.865224352899119e-05,57.0,93.2,3621.4
5,0.08709,0.99265,0.72386,0.84382,0.94951,9.698463103929542e-05,57.2,92.9,3621.4
6,0.05555,0.99567,0.69788,0.84921,0.95254,9.468163201617062e-05,56.9,93.3,3621.4
7,0.03646,0.99699,0.67639,0.84618,0.95187,9.177439057064683e-05,57.1,93.0,3621.4
8,0.04281,0.99548,0.71437,0.84382,0.94985,8.83022221559489e-05,56.8,93.5,3621.4
9,0.0348,0.99736,0.67473,0.84988,0.95389,8.43120818934367e-05,56.8,93.5,3621.4
10,0.03148,0.99717,0.68927,0.84382,0.95119,7.985792958513931e-05,56.7,93.6,3621.4
11,0.01885,0.99849,0.65559,0.84921,0.95389,7.500000000000001e-05,56.7,93.6,3621.4
12,0.02363,0.9968,0.71854,0.8344,0.9485,6.980398830195785e-05,56.7,93.7,3621.4
13,0.02313,0.99736,0.67391,0.84214,0.9522,6.434016163555452e-05,56.5,93.9,3621.4
14,0.01714,0.99868,0.68957,0.84214,0.95119,5.868240888334653e-05,56.5,94.0,3621.4
