epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.42685,0.06931,3.66688,0.25901,0.48218,3.3633633633633635e-05,77.5,91.3,3619.6
1,2.67431,0.44936,2.0231,0.54307,0.80752,6.696696696696697e-05,76.9,91.9,3619.6
2,1.41392,0.67694,1.48802,0.63644,0.86673,0.0001,76.8,92.0,3619.6
3,0.77207,0.8232,1.2576,0.68168,0.88327,9.829629131445342e-05,76.8,92.1,3619.6
4,0.37506,0.92786,1.18528,0.69703,0.8897,9.330127018922194e-05,76.8,92.1,3619.6
5,0.16975,0.9761,1.19329,0.69455,0.88921,8.535533905932738e-05,76.7,92.2,3619.6
6,0.0824,0.99151,1.15957,0.70554,0.89604,7.500000000000001e-05,76.6,92.2,3619.6
7,0.04625,0.99562,1.15996,0.70545,0.89515,6.294095225512603e-05,76.6,92.3,3619.6
8,0.03067,0.99745,1.14282,0.71356,0.89901,5e-05,76.7,92.2,3619.6
9,0.02393,0.99788,1.12213,0.71673,0.90287,3.705904774487396e-05,76.6,92.3,3619.6
10,0.01624,0.99929,1.12042,0.7202,0.90129,2.500000000000001e-05,76.6,92.3,3619.6
11,0.01371,0.99915,1.11401,0.72366,0.90139,1.4644660940672627e-05,76.6,92.3,3619.6
12,0.01247,0.99901,1.10763,0.72248,0.90337,6.698729810778065e-06,76.5,92.4,3619.6
13,0.01128,0.99972,1.10544,0.72416,0.90366,1.70370868554659e-06,76.6,92.4,3619.6
14,0.01155,0.99958,1.10489,0.72426,0.90366,0.0,76.7,92.2,3619.6
