run_id,model_name,dataset,fraction,seed,regime,n,accuracy,mean_confidence,overconfidence_gap,ece,mce,n_bins
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,5952,0.765625,0.6545972204521506,-0.11102777954784937,0.11102777954784936,0.21589447311894538,15
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,5952,0.7595766129032258,0.6405338712489753,-0.11904274165425044,0.1190427416542505,0.1881252064883152,15
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,5952,0.7602486559139785,0.648914077678152,-0.11133457823582649,0.11133457823582646,0.18984301105655477,15
resnet50_caltech256_f25_s0_fullft,resnet50,caltech256,25,0,fullft,5952,0.8377016129032258,0.8261405780995315,-0.011561034803694303,0.018062450238929106,0.2049320680089295,15
resnet50_food101_f25_s0_fullft,resnet50,food101,25,0,fullft,20200,0.7341584158415841,0.8001302725901034,0.06597185674851924,0.06614110750893117,0.16634268786737827,15
resnet50_caltech256_f25_s1_fullft,resnet50,caltech256,25,1,fullft,5952,0.8279569892473119,0.8080947592388839,-0.019862230008428017,0.02441812217766318,0.0724245050891501,15
resnet50_caltech256_f25_s2_fullft,resnet50,caltech256,25,2,fullft,5952,0.8301411290322581,0.8208628340094771,-0.009278295022780991,0.013574376094570583,0.05363665707409382,15
resnet50_caltech256_f50_s0_fullft,resnet50,caltech256,50,0,fullft,5952,0.8667674731182796,0.8880578222082457,0.021290349089966076,0.022588670475944136,0.1382890816863256,15
resnet50_caltech256_f50_s1_fullft,resnet50,caltech256,50,1,fullft,5952,0.8677755376344086,0.8849983430168371,0.017222805382428485,0.018000550784035473,0.22570112099250156,15
resnet50_caltech256_f50_s2_fullft,resnet50,caltech256,50,2,fullft,5952,0.8649193548387096,0.8853264323295524,0.020407077490842807,0.02134738032836269,0.1304119221771819,15
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,5952,0.8884408602150538,0.9175464354576893,0.029105575242635573,0.030904289756235652,0.18568936599198205,15
resnet50_food101_f100_s0_fullft,resnet50,food101,100,0,fullft,20200,0.8254950495049505,0.885030569098521,0.05953551959357051,0.05956111887377677,0.16330556977878907,15
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,5952,0.8892809139784946,0.9196703825346244,0.030389468556129784,0.031695364994467595,0.966177299618721,15
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,5952,0.8882728494623656,0.921020985895177,0.03274813643281138,0.033828984003423955,0.14899052212487407,15
vit_b16_caltech256_f10_s0_fullft,vit_b16,caltech256,10,0,fullft,5952,0.7758736559139785,0.5827024490337804,-0.19317120688019807,0.19317120688019818,0.414289425902006,15
vit_b16_caltech256_f10_s1_fullft,vit_b16,caltech256,10,1,fullft,5952,0.7810819892473119,0.5861331939306711,-0.19494879531664078,0.19494879531664078,0.4185617983144502,15
vit_b16_caltech256_f10_s2_fullft,vit_b16,caltech256,10,2,fullft,5952,0.7869623655913979,0.5900627723081358,-0.19689959328326212,0.19689959328326204,0.4243747800399986,15
vit_b16_caltech256_f25_s0_fullft,vit_b16,caltech256,25,0,fullft,5952,0.8533266129032258,0.820517590992348,-0.032809021910877756,0.03415148514786097,0.16636634199586642,15
vit_b16_food101_f25_s0_fullft,vit_b16,food101,25,0,fullft,20200,0.7828217821782179,0.869224655959792,0.08640287378157419,0.08640287378157424,0.2257719057492077,15
vit_b16_caltech256_f25_s1_fullft,vit_b16,caltech256,25,1,fullft,5952,0.8499663978494624,0.8198150090105901,-0.03015138883887225,0.030794252832395102,0.1898639362433861,15
vit_b16_caltech256_f25_s2_fullft,vit_b16,caltech256,25,2,fullft,5952,0.8523185483870968,0.823354209815177,-0.028964338571919712,0.029650297524753046,0.2408217504257109,15
vit_b16_caltech256_f50_s0_fullft,vit_b16,caltech256,50,0,fullft,5952,0.8756720430107527,0.8913717920296095,0.015699749018856735,0.025031695920993993,0.13097094189036976,15
vit_b16_caltech256_f50_s1_fullft,vit_b16,caltech256,50,1,fullft,5952,0.8771841397849462,0.8907240189334017,0.013539879148455447,0.02102476731318255,0.11128019541501999,15
vit_b16_caltech256_f50_s2_fullft,vit_b16,caltech256,50,2,fullft,5952,0.8728158602150538,0.891928933286709,0.019113073071655218,0.0297399407029853,0.17750441865856148,15
vit_b16_caltech256_f100_s0_fullft,vit_b16,caltech256,100,0,fullft,5952,0.8953293010752689,0.927857761174911,0.032528460099642165,0.03353780254556408,0.19996265088668985,15
vit_b16_food101_f100_s0_fullft,vit_b16,food101,100,0,fullft,20200,0.8465346534653465,0.9241691478161086,0.07763449435076208,0.0776559685196469,0.25181179160603573,15
vit_b16_caltech256_f100_s1_fullft,vit_b16,caltech256,100,1,fullft,5952,0.8939852150537635,0.9273338295051187,0.033348614451355174,0.034430525659943964,0.19509747190382876,15
vit_b16_caltech256_f100_s2_fullft,vit_b16,caltech256,100,2,fullft,5952,0.899361559139785,0.9289353561921856,0.029573797052400597,0.03335862667537645,0.15848315300212956,15
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,5952,0.7511760752688172,0.656720395371448,-0.09445567989736925,0.09458647441164021,0.16526226222318396,15
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,5952,0.7404233870967742,0.6477878759471168,-0.0926355111496574,0.0926355111496573,0.16716517979822199,15
resnet50_caltech256_f10_s2_linprobe,resnet50,caltech256,10,2,linprobe,5952,0.7385752688172043,0.6507502638406911,-0.08782500497651313,0.08782500497651316,0.15635579930568655,15
resnet50_caltech256_f25_s0_linprobe,resnet50,caltech256,25,0,linprobe,5952,0.828125,0.9130357841921029,0.08491078419210285,0.08491078419210293,0.2399866876301464,15
resnet50_caltech256_f25_s1_linprobe,resnet50,caltech256,25,1,linprobe,5952,0.8165322580645161,0.9106363037961626,0.09410404573164644,0.09410404573164638,0.2727588421843026,15
resnet50_caltech256_f25_s2_linprobe,resnet50,caltech256,25,2,linprobe,5952,0.8214045698924731,0.9127895518666714,0.09138498197419831,0.09158775925896664,0.30173259973526,15
resnet50_caltech256_f50_s0_linprobe,resnet50,caltech256,50,0,linprobe,5952,0.8563508064516129,0.8773458900245568,0.020995083572943884,0.02317302345838994,0.10775697359474756,15
resnet50_caltech256_f50_s1_linprobe,resnet50,caltech256,50,1,linprobe,5952,0.8588709677419355,0.8768582624878974,0.017987294745961946,0.017987294745961932,0.11784825072838712,15
resnet50_caltech256_f50_s2_linprobe,resnet50,caltech256,50,2,linprobe,5952,0.8571908602150538,0.8751975089807303,0.01800664876567659,0.02026933332234218,0.11681409552693367,15
resnet50_caltech256_f100_s0_linprobe,resnet50,caltech256,100,0,linprobe,5952,0.8785282258064516,0.877785305672836,-0.0007429201336156543,0.008085718686361881,0.08767823231073074,15
resnet50_caltech256_f100_s1_linprobe,resnet50,caltech256,100,1,linprobe,5952,0.8776881720430108,0.8791929563277111,0.0015047842847003556,0.007437769403701183,0.935555711388588,15
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,5952,0.878864247311828,0.8775800700225587,-0.0012841772892693282,0.005968975865217005,0.06177010014653206,15
vit_b16_caltech256_f10_s0_linprobe,vit_b16,caltech256,10,0,linprobe,5952,0.7674731182795699,0.6490269306707896,-0.11844618760878023,0.11844618760878023,0.27061833348511655,15
