model_name,timm_name,params_m,trainable_params_m,gflops,gmacs,feature_dim,resolution
resnet50,resnet50.a1_in1k,24.033,24.033,8.175,4.088,2048,224
vit_b16,vit_base_patch16_224.augreg_in1k,85.996,85.996,33.696,16.848,768,224
