run_id,model_name,dataset,fraction,seed,regime,bin,bin_lo,bin_hi,count,accuracy,confidence,gap
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,0,0.0,0.06666666666666667,2,0.0,0.043196795508265495,0.043196795508265495
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,1,0.06666666666666667,0.13333333333333333,7,0.14285714285714285,0.11545319110155106,0.027403951755591793
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,2,0.13333333333333333,0.2,15,0.13333333333333333,0.1750802089770635,0.04174687564373017
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,3,0.2,0.26666666666666666,34,0.11764705882352941,0.23640875562148936,0.11876169679795995
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,4,0.26666666666666666,0.3333333333333333,59,0.23728813559322035,0.2980877413588055,0.06079960576558516
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,5,0.3333333333333333,0.4,75,0.25333333333333335,0.36983848492304483,0.11650515158971148
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,6,0.4,0.4666666666666667,75,0.5066666666666667,0.4378513769308726,0.0688152897357941
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,7,0.4666666666666667,0.5333333333333333,122,0.4180327868852459,0.5019233537013413,0.08389056681609541
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,8,0.5333333333333333,0.6,134,0.5149253731343284,0.5645754492994565,0.049650076165128065
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,9,0.6,0.6666666666666666,132,0.5075757575757576,0.6325392497308326,0.12496349215507507
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,10,0.6666666666666666,0.7333333333333333,93,0.5161290322580645,0.7018183982500465,0.18568936599198205
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,11,0.7333333333333333,0.8,127,0.6377952755905512,0.7670703323807303,0.12927505679017914
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,12,0.8,0.8666666666666667,166,0.6807228915662651,0.8349708250488144,0.15424793348254928
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,13,0.8666666666666667,0.9333333333333333,286,0.8251748251748252,0.9029303589067259,0.0777555337319007
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,14,0.9333333333333333,1.0,4625,0.9827027027027027,0.9927785032504314,0.01007580054772872
resnet50_caltech256_f100_s0_linprobe,resnet50,caltech256,100,0,linprobe,0,0.0,0.06666666666666667,1,0.0,0.06647946685552597,0.06647946685552597
resnet50_caltech256_f100_s0_linprobe,resnet50,caltech256,100,0,linprobe,1,0.06666666666666667,0.13333333333333333,8,0.125,0.11245833989232779,0.012541660107672215
resnet50_caltech256_f100_s0_linprobe,resnet50,caltech256,100,0,linprobe,2,0.13333333333333333,0.2,48,0.22916666666666666,0.17184575740247965,0.05732090926418701
