run_id,model_name,dataset,fraction,seed,regime,curve,x,x_norm,top1,top5,macro_f1
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:highpass,72.0,0.6428571428571429,0.02805779569892473,0.08198924731182795,0.02697028554506248
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:highpass,112.0,1.0,0.004032258064516129,0.023521505376344086,3.139651707970529e-05
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:highpass,159.0,1.4196428571428572,0.004032258064516129,0.020329301075268816,3.1375502008032126e-05
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,4.0,0.03571428571428571,0.6085349462365591,0.790994623655914,0.6158165119535409
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,12.0,0.10714285714285714,0.38373655913978494,0.594758064516129,0.4135748952076437
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,24.0,0.21428571428571427,0.4164986559139785,0.6328965053763441,0.4339678250014035
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,44.0,0.39285714285714285,0.6270161290322581,0.8188844086021505,0.6204606271563091
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,72.0,0.6428571428571429,0.7746975806451613,0.9153225806451613,0.7607602760331174
resnet50_caltech256_f100_s0_fullft,resnet50,caltech256,100,0,fullft,frequency:band_noise,123.5,1.1026785714285714,0.7468077956989247,0.8966733870967742,0.7314308806030643
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_noise,1.0,1.0,0.8089717741935484,0.9349798387096774,0.7978741939660807
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_noise,2.0,2.0,0.7300067204301075,0.884744623655914,0.7223973034094261
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_noise,3.0,3.0,0.5908938172043011,0.7839381720430108,0.5924134006497225
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_noise,4.0,4.0,0.4109543010752688,0.620127688172043,0.42093515411193805
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_noise,5.0,5.0,0.2037970430107527,0.3812163978494624,0.2161250492496543
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_blur,1.0,1.0,0.8629032258064516,0.9561491935483871,0.8511384069674364
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_blur,2.0,2.0,0.7624327956989247,0.9089381720430108,0.7520765598309183
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_blur,3.0,3.0,0.6172715053763441,0.8227486559139785,0.6100659352838098
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_blur,4.0,4.0,0.4749663978494624,0.7081653225806451,0.47105885614514326
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:gaussian_blur,5.0,5.0,0.26730510752688175,0.48605510752688175,0.2638367967187802
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:jpeg,1.0,1.0,0.8566868279569892,0.954133064516129,0.8439855063861781
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:jpeg,2.0,2.0,0.836861559139785,0.947244623655914,0.8227056575730535
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:jpeg,3.0,3.0,0.8210685483870968,0.9388440860215054,0.8070127195124719
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:jpeg,4.0,4.0,0.7783938172043011,0.9148185483870968,0.7625447176243986
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,corruption:jpeg,5.0,5.0,0.6970766129032258,0.8573588709677419,0.6784933099131929
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,4.0,0.03571428571428571,0.030745967741935484,0.08904569892473119,0.012460230321519442
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,8.0,0.07142857142857142,0.11676747311827956,0.260752688172043,0.10671412956118943
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,12.0,0.10714285714285714,0.2560483870967742,0.46589381720430106,0.2534894036849965
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,16.0,0.14285714285714285,0.40658602150537637,0.6315524193548387,0.4001623896630665
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,24.0,0.21428571428571427,0.6154233870967742,0.8195564516129032,0.6060864872585001
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,32.0,0.2857142857142857,0.7429435483870968,0.9017137096774194,0.7327061092849247
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,48.0,0.42857142857142855,0.8316532258064516,0.9452284946236559,0.8188908931948005
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,72.0,0.6428571428571429,0.8738239247311828,0.9613575268817204,0.8624313526030027
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,112.0,1.0,0.8892809139784946,0.9690860215053764,0.8792331868838259
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:lowpass,159.0,1.4196428571428572,0.8892809139784946,0.9695900537634409,0.8793347017589063
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,4.0,0.03571428571428571,0.7357190860215054,0.8887768817204301,0.7249577320091936
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,8.0,0.07142857142857142,0.5425067204301075,0.7323588709677419,0.5441467617785383
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,12.0,0.10714285714285714,0.34055779569892475,0.5445228494623656,0.36133330527349905
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,16.0,0.14285714285714285,0.21925403225806453,0.38356854838709675,0.2372115988759599
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,24.0,0.21428571428571427,0.14045698924731181,0.25823252688172044,0.14380432410340158
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,32.0,0.2857142857142857,0.10601478494623656,0.2049731182795699,0.09976739855363946
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,48.0,0.42857142857142855,0.06401209677419355,0.13944892473118278,0.05495663683896228
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,72.0,0.6428571428571429,0.022513440860215055,0.06720430107526881,0.01667204627217572
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,112.0,1.0,0.004032258064516129,0.02049731182795699,3.14017752470273e-05
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:highpass,159.0,1.4196428571428572,0.004032258064516129,0.02066532258064516,3.1375502008032126e-05
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,4.0,0.03571428571428571,0.6090389784946236,0.7914986559139785,0.6228188042204377
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,12.0,0.10714285714285714,0.40591397849462363,0.6165994623655914,0.4442540137122951
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,24.0,0.21428571428571427,0.4519489247311828,0.6732190860215054,0.4796884690063586
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,44.0,0.39285714285714285,0.6517137096774194,0.8348454301075269,0.6382854034068963
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,72.0,0.6428571428571429,0.7664650537634409,0.9146505376344086,0.7526675094571296
resnet50_caltech256_f100_s1_fullft,resnet50,caltech256,100,1,fullft,frequency:band_noise,123.5,1.1026785714285714,0.7962029569892473,0.920866935483871,0.7819417788315601
