model_name,timm_name,params_m,trainable_params_m,gflops,gmacs,feature_dim,resolution,peak_vram_mb,train_imgs_per_sec,mean_epoch_time_s,total_gpu_hours,runs
resnet50,resnet50.a1_in1k,24.033,24.033,8.175,4.088,2048,224,3101.2,290.81666666666666,33.28333333333333,2.6516666666666664,12
vit_b16,vit_base_patch16_224.augreg_in1k,85.996,85.996,33.696,16.848,768,224,3621.4,91.3,24.1,0.4166666666666667,2
