epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.25325,0.08698,3.1577,0.39044,0.69371,0.044444444444444446,0.0,0.0,84.2
1,1.7371,0.75774,1.10928,0.74015,0.91316,0.07777777777777778,0.0,0.0,88.2
2,0.13882,0.96949,1.38771,0.70818,0.8933,0.1,0.0,0.0,88.2
3,0.05113,0.98452,1.55512,0.7341,0.897,0.09966191788709716,0.0,0.0,88.2
4,0.01005,0.99727,1.72455,0.73511,0.89835,0.0986522435289912,0.0,0.0,88.2
5,0.00272,0.99954,1.87676,0.73713,0.90071,0.09698463103929543,0.0,0.0,88.2
6,0.00125,1.0,1.98394,0.73679,0.89902,0.09468163201617062,0.0,0.0,88.2
7,0.00085,1.0,2.05734,0.73679,0.89869,0.09177439057064683,0.0,0.0,88.2
8,0.00057,1.0,2.10452,0.73511,0.90003,0.0883022221559489,0.0,0.0,88.2
9,0.00035,1.0,2.13116,0.73376,0.89936,0.0843120818934367,0.0,0.0,88.2
