epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.50332,0.23426,2.39155,0.67149,0.8519,3.3435582822085895e-05,223.5,93.3,3621.4
1,1.19035,0.81052,0.71573,0.85022,0.96062,6.676891615541922e-05,222.4,93.8,3621.4
2,0.43144,0.90814,0.62483,0.85291,0.96096,0.0001,222.5,93.7,3621.4
3,0.25195,0.94127,0.55753,0.87075,0.96533,9.829629131445342e-05,221.9,94.0,3621.4
4,0.15668,0.96188,0.5239,0.87008,0.9623,9.330127018922194e-05,222.4,93.8,3621.4
5,0.11012,0.97392,0.54711,0.86738,0.95894,8.535533905932738e-05,222.3,93.8,3621.4
6,0.07239,0.98274,0.57506,0.86974,0.96298,7.500000000000001e-05,222.4,93.8,3621.4
7,0.04862,0.98926,0.53285,0.8758,0.966,6.294095225512603e-05,222.4,93.8,3621.4
8,0.03645,0.9918,0.51961,0.88018,0.96802,5e-05,222.3,93.8,3621.4
9,0.02597,0.9941,0.50981,0.8832,0.96499,3.705904774487396e-05,221.8,94.0,3621.4
10,0.02009,0.99612,0.47979,0.88859,0.96937,2.500000000000001e-05,221.9,94.0,3621.4
11,0.01236,0.99779,0.47834,0.88926,0.9687,1.4644660940672627e-05,221.7,94.1,3621.4
12,0.01088,0.99803,0.47808,0.89263,0.96903,6.698729810778065e-06,221.8,94.0,3621.4
13,0.01069,0.9977,0.47148,0.88859,0.97004,1.70370868554659e-06,222.3,93.8,3621.4
14,0.00815,0.99842,0.47135,0.88825,0.96971,0.0,221.8,94.0,3621.4
