epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.45163,0.0307,5.11546,0.03332,0.18647,0.00010060975609756097,49.5,211.8,3101.2
1,4.04159,0.25069,2.07814,0.64961,0.88691,0.00020060975609756095,49.2,213.0,3101.2
2,1.37845,0.74788,0.87649,0.80949,0.94009,0.0003,49.4,212.3,3101.2
3,0.62143,0.85897,0.68292,0.83575,0.9522,0.0002948888739433602,49.6,211.4,3101.2
4,0.36412,0.91885,0.59695,0.85796,0.96062,0.0002799038105676658,49.6,211.6,3101.2
5,0.22857,0.95022,0.58212,0.85325,0.96365,0.00025606601717798207,49.5,212.0,3101.2
6,0.1606,0.96872,0.54969,0.86772,0.96264,0.000225,49.4,212.2,3101.2
7,0.11466,0.9794,0.55325,0.85762,0.96432,0.0001888228567653781,49.3,212.9,3101.2
8,0.09288,0.98417,0.53834,0.86839,0.96701,0.00015,49.4,212.4,3101.2
9,0.06886,0.9898,0.52305,0.86873,0.96399,0.00011117714323462186,49.4,212.5,3101.2
10,0.05664,0.99247,0.52639,0.86436,0.96567,7.500000000000002e-05,49.4,212.5,3101.2
11,0.0508,0.99352,0.52377,0.87176,0.96802,4.3933982822017876e-05,49.2,213.0,3101.2
12,0.04765,0.99495,0.5179,0.87243,0.96567,2.009618943233419e-05,49.3,212.8,3101.2
13,0.04484,0.99428,0.51887,0.87277,0.96668,5.11112605663977e-06,49.2,213.2,3101.2
14,0.04345,0.99523,0.52687,0.86839,0.96365,0.0,49.3,212.5,3101.2
