epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.26565,0.05356,4.25608,0.22114,0.50656,0.00010030674846625767,71.4,292.1,3101.2
1,2.26255,0.60833,0.92433,0.7967,0.94042,0.00020030674846625764,71.2,293.1,3101.2
2,0.72033,0.83785,0.64829,0.84551,0.95692,0.0003,71.2,293.0,3101.2
3,0.41902,0.895,0.51648,0.87109,0.96432,0.00029898575366129145,71.0,293.6,3101.2
4,0.27619,0.93153,0.49696,0.87513,0.96432,0.00029595673058697357,71.1,293.4,3101.2
5,0.1762,0.95647,0.50584,0.87277,0.96533,0.0002909538931178862,71.1,293.3,3101.2
6,0.12831,0.96979,0.49554,0.88118,0.96701,0.0002840448960485118,71.1,293.2,3101.2
7,0.11039,0.97267,0.48523,0.87816,0.96937,0.00027532317171194046,71.3,292.7,3101.2
8,0.08855,0.97919,0.47337,0.88219,0.96903,0.00026490666646784665,71.2,292.8,3101.2
9,0.07018,0.9824,0.51386,0.87479,0.96499,0.00025293624568031,71.1,293.3,3101.2
10,0.05604,0.98744,0.50753,0.8832,0.96533,0.00023957378875541792,71.1,293.2,3101.2
11,0.04795,0.98845,0.51693,0.87984,0.9687,0.000225,71.3,292.7,3101.2
12,0.04669,0.98859,0.50471,0.87748,0.97038,0.0002094119649058735,71.4,292.2,3101.2
13,0.03709,0.99161,0.50522,0.88691,0.96533,0.00019302048490666353,71.5,291.7,3101.2
14,0.03273,0.99314,0.4959,0.88792,0.96466,0.00017604722665003956,71.2,293.0,3101.2
15,0.0323,0.99295,0.50447,0.88253,0.96533,0.00015872172433657134,71.1,293.3,3101.2
16,0.02657,0.9942,0.51123,0.88489,0.96735,0.00014127827566342863,71.2,292.9,3101.2
17,0.0217,0.99521,0.49778,0.88522,0.96701,0.00012395277334996044,71.3,292.6,3101.2
18,0.02027,0.99568,0.4983,0.88893,0.96701,0.0001069795150933365,71.1,293.2,3101.2
19,0.01758,0.99679,0.4908,0.88994,0.96836,9.058803509412646e-05,71.2,293.1,3101.2
20,0.01437,0.99703,0.48923,0.89061,0.97004,7.500000000000002e-05,71.4,292.0,3101.2
21,0.01467,0.99684,0.48133,0.89297,0.97038,6.04262112445821e-05,71.1,293.2,3101.2
22,0.01302,0.99746,0.48657,0.89364,0.96937,4.706375431968997e-05,71.2,293.1,3101.2
23,0.01162,0.99779,0.48796,0.89162,0.96971,3.509333353215331e-05,71.4,292.3,3101.2
24,0.01056,0.99808,0.48582,0.8896,0.97206,2.4676828288059558e-05,71.1,293.5,3101.2
25,0.01169,0.99746,0.48017,0.89398,0.97139,1.5955103951488173e-05,71.0,293.7,3101.2
26,0.00927,0.99851,0.47903,0.89431,0.97173,9.046106882113751e-06,71.1,293.3,3101.2
27,0.0101,0.99851,0.47716,0.89297,0.97139,4.043269413026429e-06,71.1,293.4,3101.2
28,0.01059,0.99808,0.47986,0.89263,0.96971,1.0142463387085464e-06,71.1,293.3,3101.2
29,0.01043,0.9977,0.47825,0.89162,0.97072,0.0,71.2,292.7,3101.2
