epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.65625,0.01821,5.24562,0.0828,0.12622,3.428571428571429e-05,24.3,90.4,3621.4
1,4.6384,0.15483,4.20919,0.276,0.43352,6.761904761904763e-05,24.0,91.3,3621.4
2,3.07467,0.63843,2.93304,0.58734,0.77213,0.0001,24.0,91.4,3621.4
3,1.4321,0.91758,2.00969,0.71087,0.86806,9.966191788709716e-05,24.1,91.0,3621.4
4,0.53631,0.98452,1.60185,0.75564,0.90071,9.865224352899119e-05,24.2,90.9,3621.4
5,0.22361,0.99636,1.43121,0.76607,0.90744,9.698463103929542e-05,24.2,90.9,3621.4
6,0.10914,0.99818,1.34434,0.77146,0.90643,9.468163201617062e-05,24.1,91.2,3621.4
7,0.06713,1.0,1.27694,0.7755,0.91215,9.177439057064683e-05,24.3,90.3,3621.4
8,0.05196,0.99863,1.26055,0.76977,0.90878,8.83022221559489e-05,24.2,90.9,3621.4
9,0.0397,0.99954,1.23791,0.77314,0.91181,8.43120818934367e-05,24.0,91.4,3621.4
10,0.03417,0.99954,1.21417,0.78021,0.91249,7.985792958513931e-05,24.0,91.4,3621.4
11,0.02563,1.0,1.19516,0.78021,0.9135,7.500000000000001e-05,24.0,91.5,3621.4
12,0.02258,1.0,1.17882,0.78156,0.91417,6.980398830195785e-05,24.0,91.6,3621.4
13,0.02017,0.99954,1.17373,0.77819,0.91451,6.434016163555452e-05,24.0,91.7,3621.4
14,0.01758,1.0,1.16617,0.77752,0.9135,5.868240888334653e-05,24.0,91.7,3621.4
15,0.01822,1.0,1.16349,0.78021,0.91249,5.290724144552379e-05,24.0,91.4,3621.4
16,0.01493,1.0,1.15323,0.77987,0.91215,4.709275855447621e-05,24.0,91.7,3621.4
17,0.01342,1.0,1.13951,0.78223,0.91417,4.131759111665349e-05,23.9,91.8,3621.4
18,0.0163,0.99954,1.14811,0.77785,0.91417,3.5659838364445505e-05,24.0,91.6,3621.4
19,0.01218,1.0,1.14188,0.78055,0.91282,3.019601169804216e-05,24.0,91.6,3621.4
20,0.01341,0.99954,1.13196,0.77987,0.91383,2.500000000000001e-05,23.9,91.7,3621.4
21,0.01198,1.0,1.13539,0.78055,0.91215,2.0142070414860704e-05,24.0,91.6,3621.4
22,0.01202,1.0,1.13264,0.78088,0.91249,1.5687918106563326e-05,24.0,91.7,3621.4
