epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.63925,0.01685,5.25496,0.07607,0.13531,3.428571428571429e-05,24.5,89.7,3621.4
1,4.61623,0.16758,4.1771,0.2898,0.4554,6.761904761904763e-05,24.0,91.5,3621.4
2,3.04633,0.65301,2.8971,0.59643,0.78256,0.0001,24.0,91.6,3621.4
3,1.40643,0.92122,1.94536,0.71693,0.88085,9.966191788709716e-05,24.1,90.9,3621.4
4,0.5236,0.98543,1.55784,0.76271,0.90374,9.865224352899119e-05,24.2,90.8,3621.4
5,0.2057,0.99863,1.38704,0.77011,0.91316,9.698463103929542e-05,24.1,91.1,3621.4
6,0.10798,1.0,1.31172,0.77146,0.91653,9.468163201617062e-05,24.0,91.5,3621.4
7,0.06576,1.0,1.24018,0.77954,0.91888,9.177439057064683e-05,24.0,91.5,3621.4
8,0.05372,0.99954,1.20547,0.77516,0.91754,8.83022221559489e-05,24.0,91.5,3621.4
9,0.03925,1.0,1.18086,0.77651,0.92191,8.43120818934367e-05,24.0,91.7,3621.4
10,0.03274,0.99909,1.17276,0.7792,0.91821,7.985792958513931e-05,24.0,91.5,3621.4
11,0.02656,1.0,1.13806,0.78492,0.92225,7.500000000000001e-05,24.1,91.3,3621.4
12,0.02475,1.0,1.14052,0.78256,0.91787,6.980398830195785e-05,24.1,91.2,3621.4
13,0.01999,1.0,1.12551,0.78223,0.91922,6.434016163555452e-05,24.0,91.4,3621.4
14,0.01822,1.0,1.11253,0.78728,0.91922,5.868240888334653e-05,23.9,91.8,3621.4
15,0.01599,1.0,1.10857,0.7866,0.92158,5.290724144552379e-05,24.0,91.6,3621.4
16,0.01505,1.0,1.10932,0.78492,0.91989,4.709275855447621e-05,24.0,91.6,3621.4
17,0.01431,1.0,1.09903,0.78593,0.9209,4.131759111665349e-05,24.0,91.7,3621.4
18,0.01321,1.0,1.0998,0.78324,0.92124,3.5659838364445505e-05,24.0,91.4,3621.4
19,0.01303,1.0,1.0989,0.78189,0.91956,3.019601169804216e-05,24.1,91.3,3621.4
