epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.3506,0.05632,4.60597,0.16964,0.2935,3.3734939759036146e-05,58.4,90.9,3621.4
1,3.53941,0.46092,2.47232,0.64254,0.8381,6.706827309236948e-05,57.3,92.7,3621.4
2,1.39365,0.83293,1.1894,0.8031,0.93908,0.0001,56.9,93.3,3621.4
3,0.45669,0.94274,0.872,0.82699,0.95119,9.966191788709716e-05,57.3,92.7,3621.4
4,0.17157,0.98418,0.78069,0.83474,0.94783,9.865224352899119e-05,57.2,92.8,3621.4
5,0.08813,0.99341,0.7255,0.84719,0.94817,9.698463103929542e-05,57.2,92.8,3621.4
6,0.055,0.99473,0.72545,0.84517,0.9485,9.468163201617062e-05,56.8,93.4,3621.4
7,0.03718,0.99793,0.69829,0.84887,0.94985,9.177439057064683e-05,56.9,93.3,3621.4
8,0.02799,0.99774,0.70793,0.84652,0.94817,8.83022221559489e-05,56.8,93.5,3621.4
9,0.03115,0.99642,0.70519,0.84315,0.95019,8.43120818934367e-05,56.8,93.5,3621.4
10,0.02578,0.99812,0.69394,0.84786,0.94581,7.985792958513931e-05,56.8,93.5,3621.4
11,0.02056,0.99793,0.70404,0.84113,0.95086,7.500000000000001e-05,56.8,93.5,3621.4
12,0.02417,0.99717,0.71033,0.84012,0.94682,6.980398830195785e-05,56.8,93.5,3621.4
