epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.45095,0.03001,5.09031,0.06059,0.25177,5.015337423312883e-05,70.7,295.1,3101.2
1,3.94591,0.31117,2.00636,0.67991,0.8933,0.0001,71.0,293.7,3101.2
2,1.41227,0.75083,0.89196,0.81252,0.94817,9.330127018922194e-05,71.0,293.7,3101.2
3,0.78235,0.83938,0.6802,0.8418,0.9586,7.500000000000001e-05,72.2,289.1,3101.2
4,0.58547,0.87544,0.59926,0.86402,0.96129,5e-05,70.8,294.7,3101.2
5,0.48768,0.89476,0.56976,0.86637,0.96499,2.500000000000001e-05,70.9,294.3,3101.2
6,0.44132,0.90416,0.55367,0.87075,0.96668,6.698729810778065e-06,70.9,294.1,3101.2
7,0.4278,0.90981,0.55245,0.86907,0.96634,0.0,71.6,291.3,3101.2
