epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.43455,0.04334,4.51504,0.25816,0.42477,0.0003492063492063492,0.0,0.0,103.3
1,3.2144,0.53896,1.87154,0.70953,0.8795,0.0006825396825396826,0.0,0.0,103.3
2,1.25291,0.78122,0.93196,0.80882,0.94143,0.001,0.0,0.0,103.3
3,0.70134,0.85142,0.72982,0.8307,0.94951,0.0009966191788709714,0.0,0.0,103.3
4,0.5297,0.88383,0.66285,0.84517,0.95456,0.0009865224352899118,0.0,0.0,103.3
5,0.43038,0.90593,0.63008,0.84719,0.95624,0.0009698463103929542,0.0,0.0,103.3
6,0.35958,0.92405,0.60553,0.84955,0.95793,0.0009468163201617061,0.0,0.0,103.3
7,0.3055,0.93829,0.5919,0.84988,0.9586,0.0009177439057064682,0.0,0.0,103.3
8,0.26242,0.94889,0.58171,0.85123,0.95927,0.000883022221559489,0.0,0.0,103.3
9,0.22801,0.96025,0.57509,0.85459,0.95961,0.0008431208189343669,0.0,0.0,103.3
10,0.20043,0.9684,0.57048,0.85426,0.95995,0.0007985792958513931,0.0,0.0,103.3
11,0.17804,0.97392,0.56605,0.85426,0.96062,0.00075,0.0,0.0,103.3
12,0.15996,0.97857,0.56364,0.85426,0.96129,0.0006980398830195785,0.0,0.0,103.3
13,0.14516,0.98216,0.56129,0.85392,0.96197,0.0006434016163555452,0.0,0.0,103.3
14,0.133,0.98509,0.56042,0.85426,0.96129,0.0005868240888334653,0.0,0.0,103.3
15,0.12293,0.98777,0.5598,0.85257,0.96096,0.0005290724144552379,0.0,0.0,103.3
16,0.11453,0.98936,0.558,0.85224,0.9623,0.0004709275855447621,0.0,0.0,103.3
17,0.10798,0.99003,0.5582,0.85257,0.9623,0.00041317591116653486,0.0,0.0,103.3
