epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,3.65375,0.36579,0.96786,0.7893,0.93167,0.03636363636363637,0.0,0.0,147.0
1,0.37179,0.90827,0.73027,0.83575,0.94716,0.0696969696969697,0.0,0.0,152.9
2,0.09278,0.97225,0.80713,0.84147,0.95153,0.1,0.0,0.0,152.9
3,0.02624,0.9917,0.82687,0.84483,0.95456,0.09966191788709716,0.0,0.0,152.9
4,0.01392,0.9958,0.81155,0.84147,0.95355,0.0986522435289912,0.0,0.0,152.9
5,0.00856,0.99743,0.79392,0.84382,0.95119,0.09698463103929543,0.0,0.0,152.9
6,0.00438,0.99924,0.72645,0.8556,0.95422,0.09468163201617062,0.0,0.0,152.9
7,0.00241,1.0,0.70178,0.8556,0.95557,0.09177439057064683,0.0,0.0,152.9
8,0.00181,1.0,0.67845,0.85325,0.95389,0.0883022221559489,0.0,0.0,152.9
9,0.00203,1.0,0.65187,0.85459,0.95759,0.0843120818934367,0.0,0.0,152.9
10,0.00205,1.0,0.6293,0.85695,0.95826,0.07985792958513932,0.0,0.0,152.9
11,0.00234,1.0,0.61174,0.85796,0.95624,0.07500000000000001,0.0,0.0,152.9
12,0.00266,1.0,0.59955,0.85863,0.95692,0.06980398830195784,0.0,0.0,152.9
13,0.00297,1.0,0.59024,0.86032,0.95793,0.06434016163555452,0.0,0.0,152.9
14,0.00327,1.0,0.58314,0.86065,0.95826,0.058682408883346526,0.0,0.0,152.9
15,0.00353,1.0,0.57605,0.85998,0.95793,0.05290724144552379,0.0,0.0,152.9
16,0.00377,1.0,0.57041,0.85931,0.9586,0.04709275855447621,0.0,0.0,152.9
17,0.00397,1.0,0.56524,0.86065,0.95894,0.041317591116653486,0.0,0.0,152.9
18,0.00414,1.0,0.56278,0.86099,0.95793,0.0356598383644455,0.0,0.0,152.9
19,0.00426,1.0,0.5602,0.85998,0.95759,0.03019601169804216,0.0,0.0,152.9
20,0.00436,1.0,0.55778,0.85964,0.95826,0.025000000000000012,0.0,0.0,152.9
21,0.00443,1.0,0.55529,0.86032,0.95826,0.020142070414860703,0.0,0.0,152.9
22,0.00448,1.0,0.55459,0.86099,0.9586,0.015687918106563326,0.0,0.0,152.9
23,0.00451,1.0,0.55406,0.86032,0.95793,0.011697777844051106,0.0,0.0,152.9
24,0.00452,1.0,0.55339,0.86099,0.95826,0.008225609429353187,0.0,0.0,152.9
25,0.00453,1.0,0.55265,0.86099,0.95826,0.005318367983829392,0.0,0.0,152.9
26,0.00453,1.0,0.55246,0.86133,0.95826,0.0030153689607045845,0.0,0.0,152.9
27,0.00453,1.0,0.55237,0.86065,0.95826,0.0013477564710088097,0.0,0.0,152.9
28,0.00452,1.0,0.55235,0.86133,0.95826,0.0003380821129028489,0.0,0.0,152.9
29,0.00452,1.0,0.55233,0.86133,0.95826,0.0,0.0,0.0,152.9
