epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.60248,0.01468,5.0664,0.07876,0.17906,0.00036363636363636367,0.0,0.0,68.1
1,4.33067,0.28397,3.22153,0.57085,0.75597,0.000696969696969697,0.0,0.0,71.9
2,2.31788,0.69086,1.57258,0.73847,0.89566,0.001,0.0,0.0,71.9
3,1.12026,0.81062,1.02489,0.79165,0.92494,0.0009966191788709714,0.0,0.0,71.9
4,0.72311,0.85859,0.84933,0.81151,0.93706,0.0009865224352899118,0.0,0.0,71.9
5,0.55035,0.88758,0.77672,0.8243,0.94312,0.0009698463103929542,0.0,0.0,71.9
6,0.44919,0.90674,0.73778,0.82834,0.9448,0.0009468163201617061,0.0,0.0,71.9
7,0.3752,0.9241,0.7142,0.83272,0.94581,0.0009177439057064682,0.0,0.0,71.9
8,0.31824,0.94021,0.69899,0.83608,0.94951,0.000883022221559489,0.0,0.0,71.9
9,0.27423,0.9527,0.68622,0.83642,0.9485,0.0008431208189343669,0.0,0.0,71.9
10,0.23896,0.96253,0.67745,0.83406,0.94817,0.0007985792958513931,0.0,0.0,71.9
11,0.20981,0.97111,0.67184,0.83777,0.94918,0.00075,0.0,0.0,71.9
12,0.1869,0.97721,0.66677,0.83911,0.95086,0.0006980398830195785,0.0,0.0,71.9
13,0.16823,0.98179,0.66393,0.83877,0.95119,0.0006434016163555452,0.0,0.0,71.9
14,0.15297,0.98512,0.6604,0.8418,0.95119,0.0005868240888334653,0.0,0.0,71.9
15,0.14027,0.98865,0.65814,0.84113,0.95153,0.0005290724144552379,0.0,0.0,71.9
16,0.13028,0.99046,0.65588,0.84012,0.95187,0.0004709275855447621,0.0,0.0,71.9
17,0.12224,0.9917,0.65449,0.83877,0.95187,0.00041317591116653486,0.0,0.0,71.9
18,0.11566,0.99294,0.6531,0.8381,0.95187,0.00035659838364445503,0.0,0.0,71.9
19,0.11032,0.9938,0.65188,0.83978,0.95187,0.0003019601169804216,0.0,0.0,71.9
20,0.10622,0.99485,0.65084,0.84046,0.95254,0.0002500000000000001,0.0,0.0,71.9
21,0.10274,0.99542,0.64999,0.84012,0.95254,0.00020142070414860702,0.0,0.0,71.9
22,0.10009,0.9959,0.64947,0.84046,0.9522,0.00015687918106563326,0.0,0.0,71.9
