epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.51868,0.01921,5.4345,0.07775,0.16055,0.00010120481927710842,25.3,209.5,3101.2
1,5.03465,0.07704,4.40517,0.17906,0.40862,0.00020120481927710841,24.9,213.4,3101.2
2,3.16918,0.45282,1.71502,0.65567,0.87883,0.0003,25.1,211.2,3101.2
3,1.1975,0.78339,1.0181,0.77348,0.92427,0.0002948888739433602,25.0,212.2,3101.2
4,0.58089,0.89075,0.84078,0.80276,0.93975,0.0002799038105676658,25.0,212.2,3101.2
5,0.35027,0.94067,0.76823,0.81521,0.94278,0.00025606601717798207,25.1,211.5,3101.2
6,0.2276,0.96497,0.73249,0.81959,0.94581,0.000225,25.0,212.2,3101.2
7,0.1631,0.97683,0.72602,0.8169,0.94413,0.0001888228567653781,25.1,211.2,3101.2
8,0.12445,0.98663,0.69598,0.82767,0.94514,0.00015,25.2,210.9,3101.2
9,0.10138,0.98794,0.69013,0.82632,0.94884,0.00011117714323462186,25.1,211.2,3101.2
10,0.09235,0.99021,0.68242,0.83339,0.94716,7.500000000000002e-05,25.1,211.5,3101.2
11,0.07541,0.99397,0.68592,0.83036,0.94615,4.3933982822017876e-05,25.2,210.7,3101.2
12,0.07602,0.99284,0.67559,0.8344,0.9485,2.009618943233419e-05,25.2,210.8,3101.2
13,0.06666,0.99454,0.67795,0.8344,0.94749,5.11112605663977e-06,25.0,212.1,3101.2
14,0.0697,0.99473,0.68618,0.82901,0.94682,0.0,25.2,211.0,3101.2
