epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.51023,0.02147,5.41831,0.05688,0.1619,0.00010120481927710842,18.5,286.5,3101.2
1,5.03111,0.06046,4.41761,0.1895,0.43453,0.00020120481927710841,18.1,293.8,3101.2
2,3.22285,0.42682,1.7263,0.6789,0.89431,0.0003,18.3,290.5,3101.2
3,1.22138,0.78,1.02381,0.77381,0.93066,0.00029898575366129145,18.3,289.8,3101.2
4,0.60426,0.88284,0.87266,0.79367,0.93268,0.00029595673058697357,18.3,290.2,3101.2
5,0.35829,0.93652,0.7698,0.80949,0.9411,0.0002909538931178862,18.3,290.5,3101.2
6,0.22973,0.96478,0.73822,0.8105,0.94278,0.0002840448960485118,18.2,291.4,3101.2
7,0.15828,0.97683,0.71519,0.81892,0.94817,0.00027532317171194046,18.2,292.0,3101.2
8,0.12298,0.9838,0.72782,0.81454,0.94749,0.00026490666646784665,18.2,291.1,3101.2
9,0.08772,0.99039,0.69394,0.83171,0.94884,0.00025293624568031,18.2,292.1,3101.2
10,0.07034,0.99209,0.72058,0.81824,0.94615,0.00023957378875541792,18.3,290.3,3101.2
11,0.06242,0.99096,0.70507,0.82228,0.94413,0.000225,18.3,289.6,3101.2
12,0.04553,0.99567,0.68837,0.83137,0.94749,0.0002094119649058735,18.2,291.6,3101.2
13,0.04149,0.99623,0.69179,0.8344,0.94446,0.00019302048490666353,18.2,291.8,3101.2
14,0.03761,0.99604,0.70231,0.82598,0.94682,0.00017604722665003956,18.3,290.8,3101.2
15,0.02867,0.99793,0.68639,0.83305,0.94918,0.00015872172433657134,18.2,291.6,3101.2
16,0.0293,0.99699,0.68494,0.83575,0.94514,0.00014127827566342863,18.4,288.2,3101.2
17,0.02771,0.9968,0.67868,0.83507,0.94884,0.00012395277334996044,18.2,291.8,3101.2
18,0.02361,0.99774,0.68299,0.83575,0.94884,0.0001069795150933365,18.3,289.9,3101.2
19,0.02125,0.99793,0.67904,0.83272,0.94716,9.058803509412646e-05,18.3,290.6,3101.2
20,0.02207,0.99849,0.68356,0.83002,0.94547,7.500000000000002e-05,18.3,290.3,3101.2
21,0.02132,0.99849,0.68768,0.82969,0.9485,6.04262112445821e-05,18.2,291.2,3101.2
