epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.75623,0.0041,5.56129,0.01313,0.05419,0.0004444444444444444,0.0,0.0,42.2
1,5.40772,0.02459,5.01632,0.09155,0.19758,0.0007777777777777778,0.0,0.0,46.0
2,4.71096,0.15756,4.19662,0.32312,0.53551,0.001,0.0,0.0,46.0
3,3.73602,0.48862,3.36643,0.54224,0.71457,0.0009966191788709714,0.0,0.0,46.0
4,2.79952,0.69763,2.68841,0.6173,0.79367,0.0009865224352899118,0.0,0.0,46.0
5,2.05559,0.78597,2.19688,0.65971,0.83339,0.0009698463103929542,0.0,0.0,46.0
6,1.52464,0.83971,1.86594,0.69539,0.86032,0.0009468163201617061,0.0,0.0,46.0
7,1.16635,0.87933,1.6416,0.71794,0.87748,0.0009177439057064682,0.0,0.0,46.0
8,0.91895,0.89982,1.48336,0.73107,0.88388,0.000883022221559489,0.0,0.0,46.0
9,0.74101,0.91667,1.36974,0.74251,0.89027,0.0008431208189343669,0.0,0.0,46.0
10,0.60985,0.92942,1.28675,0.75194,0.89398,0.0007985792958513931,0.0,0.0,46.0
11,0.51082,0.94171,1.22645,0.75732,0.89936,0.00075,0.0,0.0,46.0
12,0.43393,0.95173,1.18174,0.76304,0.90306,0.0006980398830195785,0.0,0.0,46.0
13,0.37605,0.96175,1.1483,0.76708,0.90576,0.0006434016163555452,0.0,0.0,46.0
14,0.3308,0.97359,1.12359,0.76809,0.90643,0.0005868240888334653,0.0,0.0,46.0
15,0.29486,0.97951,1.10519,0.77011,0.9071,0.0005290724144552379,0.0,0.0,46.0
16,0.26647,0.98361,1.09156,0.77179,0.90912,0.0004709275855447621,0.0,0.0,46.0
17,0.24465,0.98588,1.08146,0.77112,0.90979,0.00041317591116653486,0.0,0.0,46.0
18,0.22743,0.9877,1.07372,0.77146,0.91148,0.00035659838364445503,0.0,0.0,46.0
19,0.21379,0.98907,1.06776,0.77112,0.91148,0.0003019601169804216,0.0,0.0,46.0
20,0.20313,0.99089,1.06323,0.77213,0.91215,0.0002500000000000001,0.0,0.0,46.0
21,0.1948,0.99089,1.05978,0.7728,0.91282,0.00020142070414860702,0.0,0.0,46.0
22,0.18839,0.99135,1.05726,0.77213,0.91316,0.00015687918106563326,0.0,0.0,46.0
23,0.18368,0.99135,1.05543,0.77213,0.9135,0.00011697777844051105,0.0,0.0,46.0
24,0.1802,0.99135,1.05412,0.77213,0.9135,8.225609429353187e-05,0.0,0.0,46.0
25,0.17777,0.99135,1.05326,0.77213,0.9135,5.318367983829392e-05,0.0,0.0,46.0
26,0.17612,0.99135,1.05272,0.77179,0.9135,3.0153689607045842e-05,0.0,0.0,46.0
27,0.17514,0.99135,1.05243,0.77179,0.9135,1.3477564710088097e-05,0.0,0.0,46.0
28,0.17463,0.99135,1.05231,0.77179,0.9135,3.3808211290284885e-06,0.0,0.0,46.0
29,0.17444,0.99135,1.05229,0.77179,0.91383,0.0,0.0,0.0,46.0
