epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.50332,0.23426,2.39155,0.67149,0.8519,3.3435582822085895e-05,224.4,93.0,3621.4
1,1.19035,0.81052,0.71573,0.85022,0.96062,6.676891615541922e-05,223.6,93.3,3621.4
2,0.43144,0.90814,0.62483,0.85291,0.96096,0.0001,223.4,93.4,3621.4
3,0.25208,0.94045,0.52847,0.87344,0.96701,9.966191788709716e-05,223.4,93.3,3621.4
4,0.15189,0.96447,0.55209,0.86503,0.96399,9.865224352899119e-05,223.0,93.5,3621.4
5,0.12186,0.972,0.56779,0.85931,0.95995,9.698463103929542e-05,222.8,93.6,3621.4
6,0.10716,0.97401,0.60968,0.86469,0.95591,9.468163201617062e-05,222.9,93.6,3621.4
7,0.08046,0.97977,0.60341,0.86133,0.95692,9.177439057064683e-05,222.9,93.6,3621.4
8,0.0696,0.98327,0.58199,0.86604,0.96096,8.83022221559489e-05,222.5,93.7,3621.4
