epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.03123,0.09301,3.1406,0.49108,0.79704,0.00015046012269938648,73.9,282.3,3101.2
1,1.51065,0.7187,0.73528,0.8243,0.95254,0.0003,71.8,290.6,3101.2
2,0.55586,0.86489,0.56575,0.86133,0.95793,0.0002799038105676658,72.2,289.0,3101.2
3,0.32282,0.9229,0.48115,0.87412,0.96634,0.000225,71.9,290.2,3101.2
4,0.21045,0.94947,0.44351,0.88489,0.97173,0.00015,72.8,286.5,3101.2
5,0.14862,0.96658,0.43091,0.89128,0.97038,7.500000000000002e-05,72.5,287.8,3101.2
6,0.11989,0.97483,0.42498,0.89431,0.97004,2.009618943233419e-05,72.0,289.9,3101.2
7,0.10825,0.97838,0.42136,0.89229,0.97038,0.0,71.0,293.7,3101.2
