epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.26389,0.04579,4.30857,0.22821,0.4729,0.00010030674846625767,98.4,212.0,3101.2
1,2.3127,0.59956,0.91032,0.80411,0.94817,0.00020030674846625764,97.6,213.6,3101.2
2,0.72758,0.83751,0.60434,0.85392,0.9623,0.0003,98.1,212.7,3101.2
3,0.41246,0.90027,0.51416,0.86839,0.96466,0.0002948888739433602,97.8,213.2,3101.2
4,0.2643,0.93455,0.48319,0.87849,0.96735,0.0002799038105676658,98.1,212.6,3101.2
5,0.17612,0.9581,0.46463,0.87849,0.97105,0.00025606601717798207,98.2,212.5,3101.2
6,0.12997,0.97003,0.46056,0.88388,0.97004,0.000225,98.1,212.5,3101.2
7,0.09347,0.97934,0.45497,0.89027,0.96836,0.0001888228567653781,98.1,212.6,3101.2
8,0.07354,0.98379,0.43562,0.89196,0.97139,0.00015,97.9,212.9,3101.2
9,0.0581,0.98816,0.44504,0.89431,0.97072,0.00011117714323462186,98.0,212.9,3101.2
10,0.04648,0.99079,0.4379,0.89566,0.97139,7.500000000000002e-05,98.0,212.7,3101.2
11,0.04051,0.99262,0.43781,0.89599,0.97341,4.3933982822017876e-05,98.0,212.9,3101.2
12,0.03899,0.99166,0.43464,0.89902,0.97341,2.009618943233419e-05,98.1,212.5,3101.2
13,0.03347,0.99453,0.43239,0.89633,0.97509,5.11112605663977e-06,98.0,212.8,3101.2
14,0.03431,0.99415,0.43813,0.897,0.97341,0.0,97.9,213.0,3101.2
