epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.43787,0.25114,2.28933,0.69774,0.8657,3.3435582822085895e-05,224.3,93.0,3621.4
1,1.14983,0.81809,0.69959,0.8583,0.96264,6.676891615541922e-05,223.6,93.3,3621.4
2,0.42867,0.91202,0.59309,0.86402,0.96028,0.0001,223.3,93.4,3621.4
3,0.26366,0.93887,0.60219,0.86368,0.95658,9.829629131445342e-05,223.2,93.5,3621.4
4,0.15942,0.96241,0.57732,0.86234,0.95927,9.330127018922194e-05,223.0,93.5,3621.4
5,0.10573,0.97382,0.5832,0.86032,0.96129,8.535533905932738e-05,222.4,93.8,3621.4
6,0.0773,0.98202,0.56634,0.86671,0.96399,7.500000000000001e-05,221.9,94.0,3621.4
7,0.05148,0.98845,0.52328,0.87748,0.96298,6.294095225512603e-05,221.6,94.1,3621.4
8,0.03559,0.9918,0.49894,0.88455,0.9687,5e-05,221.9,94.0,3621.4
9,0.02061,0.99621,0.51149,0.88522,0.96836,3.705904774487396e-05,222.2,93.9,3621.4
10,0.01667,0.99708,0.52151,0.88186,0.96937,2.500000000000001e-05,222.3,93.8,3621.4
11,0.01481,0.99684,0.49709,0.88724,0.96937,1.4644660940672627e-05,221.9,94.0,3621.4
12,0.0121,0.99779,0.49141,0.88926,0.97139,6.698729810778065e-06,222.0,93.9,3621.4
13,0.01086,0.99789,0.48561,0.89061,0.97307,1.70370868554659e-06,221.9,94.0,3621.4
14,0.00877,0.99856,0.48537,0.89061,0.97274,0.0,223.3,93.4,3621.4
