epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.07418,0.10689,3.84768,0.36351,0.56883,3.353658536585366e-05,113.5,92.4,3621.4
1,2.31479,0.6654,1.22522,0.80747,0.93975,6.6869918699187e-05,112.1,93.5,3621.4
2,0.68899,0.88748,0.76484,0.84079,0.95153,0.0001,111.9,93.7,3621.4
3,0.27434,0.94984,0.66729,0.85089,0.95389,9.966191788709716e-05,111.9,93.7,3621.4
4,0.12822,0.97874,0.59493,0.86503,0.96028,9.865224352899119e-05,111.7,93.9,3621.4
5,0.08508,0.98484,0.65603,0.85257,0.95187,9.698463103929542e-05,111.6,94.0,3621.4
6,0.07632,0.98617,0.63059,0.85796,0.95591,9.468163201617062e-05,111.6,94.0,3621.4
7,0.05568,0.98989,0.61242,0.85291,0.95725,9.177439057064683e-05,111.7,93.9,3621.4
8,0.04269,0.99294,0.64207,0.85964,0.95153,8.83022221559489e-05,111.8,93.8,3621.4
9,0.03793,0.99294,0.61285,0.862,0.95793,8.43120818934367e-05,111.6,93.9,3621.4
