epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.09172,0.10728,3.82647,0.38909,0.59374,3.353658536585366e-05,113.4,92.5,3621.4
1,2.27367,0.68275,1.17637,0.81622,0.94244,6.6869918699187e-05,112.4,93.3,3621.4
2,0.67445,0.88595,0.72831,0.85257,0.95658,0.0001,112.3,93.4,3621.4
3,0.28617,0.94507,0.63837,0.8583,0.95187,9.966191788709716e-05,112.1,93.6,3621.4
4,0.14862,0.9734,0.61039,0.85762,0.95658,9.865224352899119e-05,112.1,93.6,3621.4
5,0.10481,0.97902,0.63148,0.85257,0.95624,9.698463103929542e-05,112.1,93.6,3621.4
6,0.07484,0.98608,0.63364,0.85056,0.95288,9.468163201617062e-05,111.9,93.7,3621.4
7,0.06022,0.98846,0.61502,0.85358,0.9586,9.177439057064683e-05,112.1,93.6,3621.4
8,0.06389,0.98703,0.6338,0.85661,0.95254,8.83022221559489e-05,111.9,93.7,3621.4
