epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.45067,0.0288,5.11901,0.05284,0.19118,0.00010060975609756097,36.1,290.5,3101.2
1,4.04336,0.25918,2.087,0.64793,0.87614,0.00020060975609756095,35.7,293.9,3101.2
2,1.37731,0.7393,0.8649,0.80141,0.94244,0.0003,35.9,292.4,3101.2
3,0.60626,0.86745,0.67631,0.83608,0.95052,0.00029898575366129145,36.0,291.4,3101.2
4,0.36091,0.9158,0.61477,0.84753,0.9522,0.00029595673058697357,36.0,291.3,3101.2
5,0.22344,0.95194,0.5766,0.85628,0.95692,0.0002909538931178862,36.2,289.6,3101.2
6,0.16003,0.9671,0.56418,0.86637,0.95523,0.0002840448960485118,36.0,291.4,3101.2
7,0.10434,0.98226,0.58944,0.85661,0.95389,0.00027532317171194046,36.0,291.5,3101.2
8,0.09079,0.98331,0.5872,0.85594,0.95624,0.00026490666646784665,35.8,292.5,3101.2
9,0.0674,0.98827,0.55912,0.86267,0.95591,0.00025293624568031,35.9,292.0,3101.2
10,0.054,0.99037,0.57789,0.86166,0.9549,0.00023957378875541792,36.0,291.6,3101.2
11,0.04618,0.99313,0.57056,0.86436,0.95826,0.000225,35.9,291.9,3101.2
