epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.03136,0.16849,2.19283,0.49941,0.76673,0.00010009049773755655,345.9,204.4,3090.3
1,1.62136,0.59803,1.15552,0.69554,0.90129,0.00020009049773755654,341.4,207.1,3090.3
2,1.06591,0.71926,0.92539,0.7502,0.92693,0.0003,341.4,207.1,3090.3
3,0.835,0.77308,0.82706,0.77851,0.93644,0.0002948888739433602,341.6,207.0,3090.3
4,0.67463,0.81421,0.77465,0.79248,0.94416,0.0002799038105676658,341.2,207.2,3090.3
5,0.56215,0.84358,0.76052,0.79614,0.94426,0.00025606601717798207,341.1,207.3,3090.3
6,0.46808,0.86685,0.73728,0.8097,0.94851,0.000225,340.5,207.6,3090.3
7,0.39164,0.8884,0.73206,0.81545,0.94752,0.0001888228567653781,340.8,207.4,3090.3
8,0.3165,0.90939,0.72264,0.8201,0.9501,0.00015,340.9,207.4,3090.3
9,0.26383,0.92424,0.7274,0.81931,0.95059,0.00011117714323462186,340.9,207.4,3090.3
10,0.22355,0.93577,0.72136,0.82356,0.95089,7.500000000000002e-05,341.0,207.3,3090.3
11,0.1895,0.94624,0.72047,0.82515,0.95158,4.3933982822017876e-05,340.8,207.5,3090.3
12,0.16329,0.95437,0.72404,0.82416,0.95099,2.009618943233419e-05,340.8,207.4,3090.3
13,0.15317,0.9574,0.72326,0.82752,0.95089,5.11112605663977e-06,340.7,207.5,3090.3
14,0.14906,0.95929,0.72014,0.82673,0.95228,0.0,341.1,207.2,3090.3
